,filename,xmin,ymin,xmax,ymax,points
51,ARRA-FL_SuwanneeRiver_2011/,-9287698,3494213,-9178522,3603389,8440057507
52,ARRA-FL_UpperStJohnsRiver_2010/,-9052187,3260141,-8963359,3348969,5191557888
53,ARRA-GA_LakeLanier_2010/,-9372429,4041232,-9249099,4164562,12898552218
54,ARRA-IL_LakeCo_2007/,-9819590,5183551,-9767344,5235797,1591643151
55,ARRA-IN_Flood_2010/,-9854076,4700309,-9437696,5116689,1458049728
56,ARRA-LA_Coastal-Z15_2011/,-10256615,3323972,-10045421,3535166,2516760598
57,ARRA-LA_Coastal-Z16_2011/,-10051791,3363098,-9878065,3536824,3227227049
58,ARRA-LFTNE_ConnecticutZ18_2010/,-8207630,5002650,-8135274,5075006,1619446898
59,ARRA-LFTNE_ConnecticutZ19_2011/,-8052420,5056933,-7945012,5164341,1149839529
60,ARRA-LFTNE_Massachusetts_2011/,-7994982,5082966,-7782402,5295546,18400553200
61,ARRA-LFTNE_NewHampshire_2011/,-7957116,5263348,-7850314,5370150,3175802318
62,ARRA-LFTNE_NewYork_2010/,-8300763,4949772,-8136371,5114164,1932340599
63,ARRA-LFTNE_RhodeIsland_2011/,-8025923,5033699,-7893883,5165739,9901691046
64,ARRA-MI_4SECounties_2010/,-9382114,5117073,-9158558,5340629,8441775902
65,ARRA-MI_LowerPeninsula_2010/,-9404803,5382538,-9239453,5547888,1964334277
66,ARRA-MI_TriCounty_2010/,-9474180,5221561,-9363550,5332191,6090068838
67,ARRA-MO_StoneCo_2010/,-10429484,4387734,-10378058,4439160,1926491853
68,ARRA-NE_PlatteRiver_2010/,-11583929,5118323,-11517235,5185017,1139155583
69,ARRA-NJ_3Counties_2010/,-8361710,4763035,-8222262,4902483,8724071951
70,ARRA-NRCS_Illinois_2010/,-10002136,4721425,-9965780,4757781,589896031
71,ARRA-NRCS_Kentucky_2010/,-9747480,4405183,-9715976,4436687,1792838311
72,ARRA-OR_SandyRiver_2010/,-13628527,5678143,-13592347,5714323,1530456117
73,ARRA-SC_AllendaleCo_2010/,-9085925,3858960,-9025957,3918928,3945911383
74,ARRA-SC_BambergCo_2010/,-9047051,3897147,-8988537,3955661,2586155828
75,ARRA-SC_HamptonCo_2010/,-9065706,3832721,-8996934,3901493,5507032583
76,ARRA-SC_LeeCo_2010/,-8960936,4021649,-8903654,4078931,2972859849
77,ARRA-TN_SmokyMtns_2011/,-9354666,4201978,-9250230,4306414,3750300767
78,ARRA-TX_CalhounCo_2010/,-10798667,3257020,-10714135,3341552,709386374
79,ARRA-TX_HidalgoCo_2010/,-10971530,3011182,-10892232,3090480,1053503931
80,ARRA-TX_NuecesCo_2010/,-10903020,3170733,-10802720,3271033,1299260404
81,ARRA-TX_WilacyCo_2010/,-10910655,3016365,-10822833,3104187,693154866
82,ARRA-WI_BrownCo_2010/,-9830659,5502714,-9762415,5570958,2109719630
83,AR_BuffaloRiver_2009/,-10380555,4299615,-10352711,4327459,1799213183
84,AR_BuffaloRiver_2010/,-10402037,4247358,-10282765,4366630,3574217153
85,AR_Dardanelle_2011/,-10446675,4195165,-10406949,4234891,487044329
86,AR_FEMA-ChicotDesha_2011/,-10264448,3894552,-10098570,4060430,6429732777
87,AR_FEMA-VI-BayouMeto_2012/,-10272804,4077758,-10176936,4173626,1574624597
88,AR_LowerStFrancisRiver-FEMA_2012/,-10121457,4252519,-9999223,4374753,3788850988
89,AR_McKinneyPosten_2011/,-10445617,3961795,-10430075,3977337,130198626
90,AR_PAgis_2010/,-10326515,4093951,-10249255,4171211,4575092204
91,AR_UpperBlackWatershed-FEMA_2012/,-10104451,4334309,-10069527,4369233,261648865
92,AR_UpperWhiteVillage-FEMA_2012/,-10182080,4218633,-10144234,4256479,258933093
93,AZ_AubreyCherry_1_2020/,-12615590,4101752,-12435056,4282286,47637472186
94,AZ_Black_Mesa_CoalMine_2012/,-12305452,4350695,-12270078,4386069,1387580652
95,AZ_BrawleyRillito_TL_2018/,-12468418,3703535,-12358244,3813709,2012169181
96,AZ_Cochise-FEMA_2012/,-12212387,3666878,-12185605,3693660,681234254
97,AZ_CochiseCounty_1_2020/,-12428449,3649299,-12296511,3781237,69840833564
98,AZ_CochiseCounty_2_2020/,-12293471,3810968,-12217029,3887410,27794413650
99,AZ_CochiseCounty_3_2020/,-12302668,3674657,-12156306,3821019,135984057963
100,AZ_Coconino_B1_2019/,-12493181,4097838,-12355423,4235596,55223690056
101,AZ_FEMA_Central_2017/,-12422611,3942940,-12407837,3957714,512114526
102,AZ_FEMA_East_2017/,-12530094,3675988,-12116116,4089966,57603895833
103,AZ_LowerColoradoRiver_B1_2018/,-12832760,4191235,-12594172,4429823,20245911805
104,AZ_LowerColoradoRiver_B2_2018/,-12879605,3826305,-12513727,4192183,41403044491
105,AZ_MaricopaPinal_1_2020/,-12555543,3833170,-12363849,4024864,249923645502
106,AZ_MohaveCo_1_2021/,-12819909,4113896,-12626953,4306852,11374784451
107,AZ_MohaveCo_2_2021/,-12711559,4111401,-12598483,4224477,1250826759
108,AZ_NavajoCorridor_1_2020/,-12329682,4123300,-12253164,4199818,3662966237
109,AZ_NorthKaibabNF_B1_2019/,-12544006,4336736,-12449730,4431012,54617434562
110,AZ_OrganPipeCactusNM_1_2020/,-12588909,3737623,-12535161,3791371,22802964877
111,AZ_SanCarlosReservation_2013/,-12233799,3939340,-12216767,3956372,2878839278
112,AZ_Tucson_2011/,-12417461,3722859,-12280261,3860059,8489218500
113,AZ_USFS_3DEP_Processing_2019/,-12614432,3717376,-11941728,4390080,116053962823
114,CA_AlamedaCo_2006/,-11770929,4840238,-11767223,4843944,2910147
115,CA_AlamedaCo_2_2021/,-13624196,4501616,-13564118,4561694,26097078802
116,CA_CalaverasTuolumne_2011/,-13469941,4526002,-13373915,4622028,16524444596
117,CA_CarrHirzDeltaFires_1_2019/,-13775240,4909838,-13617194,5067884,178322998175
118,CA_CarrHirzDeltaFires_2_2019/,-13663989,4902862,-13492255,5074596,205437066934
119,CA_ContraCostaCo_2007/,-13583567,4547199,-13535733,4595033,6168983
120,CA_DayFire_2007/,-13250846,4083496,-13201376,4132966,11428994376
121,CA_FEMAR9Estrella_2019/,-13475705,4157536,-13307393,4325848,13569325859
122,CA_FEMAR9Fresno_1_2019/,-13432838,4371041,-13347268,4456611,8691008794
123,CA_FEMAR9Fresno_2_2019/,-18526410,-769376,-8124362,9632672,12672441896
124,CA_FEMAR9PanocheSanLuis_2019/,-13473346,4348284,-13414292,4407338,4616255308
125,CA_FEMA_Z1_2018/,-13759579,4848966,-13500085,5108460,5468602112
126,CA_FEMA_Z4_B1_2018/,-13604296,4318487,-13422432,4500351,46246018795
127,CA_FEMA_Z4_B2_2018/,-13570845,4157019,-13379863,4348001,56736178128
128,CA_FEMA_Z4_QL1_2018/,-13458345,4324185,-13440151,4342379,588139151
129,CA_LassenNP_2020/,-13530341,4925253,-13496407,4959187,4642900288
130,CA_LowerBearCreek_2020/,-13452168,4447860,-13381286,4518742,2225982767
131,CA_MountainPass_B1_2019/,-12920531,4137625,-12754373,4303783,47823398674
132,CA_NoCAL_Wildfires_TL_QL1_2018/,-13545279,4782892,-13497535,4830636,301172826
133,CA_NoCAL_Wildfires_TL_QL2_2018/,-13833397,4532182,-13357535,5008044,4849990608
